,ORDER_ID,USER_ID,PRODUCT_ID,ORDER_QUANTITY,ORDER_DT,PAY_TYPE,PAY_NAME,USER_NAME,NICKNAME,GENDER,BIRTHDAY,PHONE_NUMBER,EMAIL,ADDRESS,ITEM_NAME,CATEGORY_ID,PRICE
0,Z0000000001,happygirl,A00000002,1,2022-09-16,P01,CARD,한소진,소진,F,1994-08-29,010-9999-9999,efefe@naver.com,서울특별시 관악구,하의,C001,60000
1,Z0000000002,nari555,A00000023,5,2022-09-16,P03,KAKAOPAY,김나리,국악소녀,F,1997-05-05,010-8888-1234,nari22@naver.com,경기도 이천시,라면,C004,1200
2,Z0000000003,nari555,A00000029,1,2022-09-16,P01,CARD,김나리,국악소녀,F,1997-05-05,010-8888-1234,nari22@naver.com,경기도 이천시,소세지,C004,4500
3,Z0000000004,jmlove1234,A00000004,1,2022-09-16,P01,CARD,이강주,참나,F,1989-03-22,010-3234-1242,kjoo@google.com,대전광역시 유성구,가방,C001,100000
4,Z0000000005,young876,A00000022,3,2022-09-16,P01,CARD,박가영,이거먹엉,F,1989-08-16,010-2345-1234,young1234@naver.com,광주광역시 동구,과자,C004,1500
5,Z0000000006,alcolholic,A00000027,10,2022-09-16,P01,CARD,노지혜,디오니소스,F,1985-04-30,010-3333-1213,sool1234@google.com,충청남도 서천군,감자,C004,500
6,Z0000000007,sm1234,A00000023,10,2022-09-16,P03,KAKAOPAY,한승민,한사장,M,1976-09-21,010-2345-3524,sm1234@naver.com,강원도 춘천시,라면,C004,1200
7,Z0000000008,happygirl,A00000023,20,2022-09-16,P03,KAKAOPAY,한소진,소진,F,1994-08-29,010-9999-9999,efefe@naver.com,서울특별시 관악구,라면,C004,1200
8,Z0000000009,minji6546,A00000026,2,2022-09-16,P03,KAKAOPAY,김민지,미지자나,F,1989-03-30,010-2345-6622,minji@naver.com,울산광역시 남구,소고기,C004,8000
9,Z0000000010,alcolholic,A00000025,2,2022-09-16,P03,KAKAOPAY,노지혜,디오니소스,F,1985-04-30,010-3333-1213,sool1234@google.com,충청남도 서천군,돼지고기,C004,7000
10,Z0000000011,dk2222,A00000022,5,2022-09-16,P03,KAKAOPAY,김대건,느그들,M,1986-08-12,010-3333-1234,asdfb@naver.com,전라남도 여수시,과자,C004,1500
11,Z0000000012,young876,A00000002,1,2022-09-16,P01,CARD,박가영,이거먹엉,F,1989-08-16,010-2345-1234,young1234@naver.com,광주광역시 동구,하의,C001,60000
12,Z0000000013,hansol,A00000029,1,2022-09-16,P01,CARD,정한솔,리네아스,M,1984-07-23,010-2435-1324,hansol@naver.com,경기도 안산시,소세지,C004,4500
13,Z0000000014,alcolholic,A00000024,1,2022-09-16,P03,KAKAOPAY,노지혜,디오니소스,F,1985-04-30,010-3333-1213,sool1234@google.com,충청남도 서천군,쌀,C004,30000
14,Z0000000015,soymilk,A00000027,5,2022-09-16,P03,KAKAOPAY,김순회,해바라기,F,1992-12-25,010-9999-1111,soy@naver.com,경상북도 영주시,감자,C004,500
15,Z0000000016,happygirl,A00000007,1,2022-09-16,P03,KAKAOPAY,한소진,소진,F,1994-08-29,010-9999-9999,efefe@naver.com,서울특별시 관악구,화장품,C002,80000
16,Z0000000017,mistic9876,A00000025,3,2022-09-16,P03,KAKAOPAY,김용준,하하호호,M,2000-12-15,010-7777-8888,yj@naver.com,충청북도 청주시,돼지고기,C004,7000
17,Z0000000018,hwon2345,A00000022,3,2022-09-16,P02,NAVERPAY,윤혜원,업텐션,F,1997-10-08,010-6534-2345,hwon2345@naver.com,대전광역시 중구,과자,C004,1500
18,Z0000000019,soymilk,A00000008,1,2022-09-16,P03,KAKAOPAY,김순회,해바라기,F,1992-12-25,010-9999-1111,soy@naver.com,경상북도 영주시,삼푸,C002,40000
19,Z0000000020,hwon2345,A00000007,1,2022-09-16,P03,KAKAOPAY,윤혜원,업텐션,F,1997-10-08,010-6534-2345,hwon2345@naver.com,대전광역시 중구,화장품,C002,80000
20,Z0000000021,young876,A00000028,3,2022-09-16,P01,CARD,박가영,이거먹엉,F,1989-08-16,010-2345-1234,young1234@naver.com,광주광역시 동구,양배추,C004,1200
21,Z0000000022,sara1134,A00000009,1,2022-09-16,P01,CARD,김사라,꼴뚜기,F,1990-12-01,010-5555-8811,jgjgj@naver.com,서울특별시 동대문구,바디워시,C002,20000
22,Z0000000023,sara1134,A00000030,5,2022-09-17,P04,PAYCO,김사라,꼴뚜기,F,1990-12-01,010-5555-8811,jgjgj@naver.com,서울특별시 동대문구,참치,C004,3000
23,Z0000000024,hyun9999,A00000010,3,2022-09-17,P01,CARD,현지연,반갑습니다,F,1992-11-11,010-3333-4567,jii@naver.com,경기도 용인시,치약,C002,2000
24,Z0000000025,minsoo55,A00000022,5,2022-09-17,P02,NAVERPAY,강민수,엠파이어,M,1990-05-03,010-3245-1234,misoo@naver.com,서울특별시 마포구,과자,C004,1500
25,Z0000000026,song4456,A00000012,1,2022-09-17,P01,CARD,이예송,쏭쏭,F,1991-03-04,010-3456-3456,ysong@naver.com,경기도 수원시,노트북,C003,1500000
26,Z0000000027,nari555,A00000023,10,2022-09-17,P02,NAVERPAY,김나리,국악소녀,F,1997-05-05,010-8888-1234,nari22@naver.com,경기도 이천시,라면,C004,1200
27,Z0000000028,happygirl,A00000021,1,2022-09-17,P01,CARD,한소진,소진,F,1994-08-29,010-9999-9999,efefe@naver.com,서울특별시 관악구,냉장고,C003,2000000
28,Z0000000029,young876,A00000029,1,2022-09-17,P01,CARD,박가영,이거먹엉,F,1989-08-16,010-2345-1234,young1234@naver.com,광주광역시 동구,소세지,C004,4500
29,Z0000000030,sara1134,A00000006,1,2022-09-17,P01,CARD,김사라,꼴뚜기,F,1990-12-01,010-5555-8811,jgjgj@naver.com,서울특별시 동대문구,모자,C001,30000
30,Z0000000031,song4456,A00000025,5,2022-09-17,P01,CARD,이예송,쏭쏭,F,1991-03-04,010-3456-3456,ysong@naver.com,경기도 수원시,돼지고기,C004,7000
31,Z0000000032,happygirl,A00000026,3,2022-09-17,P01,CARD,한소진,소진,F,1994-08-29,010-9999-9999,efefe@naver.com,서울특별시 관악구,소고기,C004,8000
32,Z0000000033,minsoo55,A00000023,5,2022-09-17,P02,NAVERPAY,강민수,엠파이어,M,1990-05-03,010-3245-1234,misoo@naver.com,서울특별시 마포구,라면,C004,1200
33,Z0000000034,jmlove1234,A00000011,2,2022-09-17,P04,PAYCO,이강주,참나,F,1989-03-22,010-3234-1242,kjoo@google.com,대전광역시 유성구,칫솔,C002,3000
34,Z0000000035,finalfantasy,A00000027,10,2022-09-18,P03,KAKAOPAY,최경환,나는천재,M,1988-09-13,010-3333-8888,final@naver.com,경기도 수원시,감자,C004,500
35,Z0000000036,minji6546,A00000002,2,2022-09-18,P01,CARD,김민지,미지자나,F,1989-03-30,010-2345-6622,minji@naver.com,울산광역시 남구,하의,C001,60000
36,Z0000000037,soymilk,A00000009,1,2022-09-18,P02,NAVERPAY,김순회,해바라기,F,1992-12-25,010-9999-1111,soy@naver.com,경상북도 영주시,바디워시,C002,20000
37,Z0000000038,dk2222,A00000022,3,2022-09-18,P03,KAKAOPAY,김대건,느그들,M,1986-08-12,010-3333-1234,asdfb@naver.com,전라남도 여수시,과자,C004,1500
38,Z0000000039,mistic9876,A00000015,1,2022-09-18,P04,PAYCO,김용준,하하호호,M,2000-12-15,010-7777-8888,yj@naver.com,충청북도 청주시,아이패드,C003,1000000
39,Z0000000040,young876,A00000028,1,2022-09-18,P03,KAKAOPAY,박가영,이거먹엉,F,1989-08-16,010-2345-1234,young1234@naver.com,광주광역시 동구,양배추,C004,1200
40,Z0000000041,sara1134,A00000024,1,2022-09-18,P02,NAVERPAY,김사라,꼴뚜기,F,1990-12-01,010-5555-8811,jgjgj@naver.com,서울특별시 동대문구,쌀,C004,30000
41,Z0000000042,soymilk,A00000003,2,2022-09-18,P03,KAKAOPAY,김순회,해바라기,F,1992-12-25,010-9999-1111,soy@naver.com,경상북도 영주시,악세사리,C001,5000
